"DEF","Sum of Invoices","776,996","1,532,159","494,919","2,804,074"
"","Count of Invoices","60","76","42","178"
"XYZ","Sum of Invoices","832,414","897,949","712,365","2,442,728"
"","Count of Invoices","67","63","52","182"
"FYI","Sum of Invoices","818,331","349,399","552,587","1,720,317"
"","Count of Invoices","79","12","40","131"
"TBD","Sum of Invoices","968,331","717,397","683,145","2,368,873"
"","Count of Invoices","43","28","47","118"
"AFK","Sum of Invoices","454,724","568,168","661,672","1,684,564"
"","Count of Invoices","71","20","62","153"
